acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.022,"['Mistah F.A.B.', 'Snoop Dogg', 'G-Eazy', 'Keak Da Sneak', 'Iamsu!', 'Nef The Pharaoh', 'Ezale']",0.7190000000000001,309499,0.794,1,0.0,0.5329999999999999,-5.575,0,"Still Feelin' It (feat. Snoop Dogg, G-Eazy, Keak Da Sneak, Iamsu!, Nef The Pharaoh & Ezale) - Remix",20,2018-08-24,0.27,99.967,0.715,2018
0.001,"['Mistah F.A.B.', 'Keak Da Sneak', 'Dubee']",0.892,196650,0.417,1,1.59e-05,0.115,-9.827,0,Can't Kill Hyphy (feat. Keak Da Sneak & Dubee) - Remix,18,2018-08-24,0.3,103.994,0.0787,2018
0.0942,"['Mistah F.A.B.', 'Philthy Rich', 'Too $hort', 'Serius Jones']",0.795,232072,0.578,1,0.0,0.0769,-5.2010000000000005,1,"Don't Trust No (feat. Philthy Rich, Too $hort & Serius Jones)",15,2018-08-24,0.187,92.976,0.4970000000000001,2018
0.0533,"['Mistah F.A.B.', 'Slimmy B']",0.858,201665,0.726,1,0.0,0.5920000000000001,-7.026,0,Bammer Bitch (feat. Slimmy B),15,2018-08-24,0.263,100.016,0.505,2018
0.106,"['Mistah F.A.B.', 'Iamsu!', 'E-40']",0.875,236278,0.833,1,0.0,0.0658,-4.773,0,Somuthafuckinloud (feat. Iamsu! & E-40),15,2018-08-24,0.223,102.044,0.54,2018
0.695,['Billy Joel'],0.3329999999999999,198173,0.655,0,3.71e-05,0.96,-9.603,1,"You're My Home - Live at Madison Square Garden, New York, NY - 2006",15,2019-05-03,0.0295,93.627,0.384,2019
0.597,['Billy Joel'],0.435,185815,0.894,0,3.95e-06,0.904,-7.811,1,"Sleeping With the Television On - Live at Madison Square Garden, New York, NY - 2006",15,2019-05-03,0.109,150.612,0.591,2019
0.123,"['Mistah F.A.B.', 'Sumthin Terrible']",0.8109999999999999,224000,0.743,1,0.0,0.4970000000000001,-6.756,1,Andre Hicks (feat. Sumthin Terrible),12,2018-08-24,0.428,94.021,0.416,2018
0.00432,"['Mistah F.A.B.', 'Too $hort', 'Husalah', 'ALLBLACK']",0.7,277133,0.491,1,0.0,0.0916,-8.33,1,"84 Biarritz (feat. Too $hort, Husalah & ALLBLACK)",9,2018-08-24,0.4029999999999999,178.135,0.225,2018
0.245,['Mistah F.A.B.'],0.82,197695,0.7040000000000001,1,0.0,0.124,-4.86,1,Hood Rat Things,9,2018-08-24,0.258,98.596,0.478,2018
0.00919,['Mistah F.A.B.'],0.6609999999999999,218018,0.472,1,0.0,0.111,-8.594,1,She Asked Me,10,2018-08-24,0.381,187.489,0.402,2018
0.385,['Billy Joel'],0.319,249944,0.802,0,0.0,0.753,-8.392999999999999,1,"A Room of Our Own - Live at Madison Square Garden, New York, NY - 2006",13,2019-05-03,0.068,186.048,0.5539999999999999,2019
0.0004509999999999,['Mistah F.A.B.'],0.898,163265,0.591,1,0.0,0.108,-8.027000000000001,1,I Bet You Won't,9,2018-08-24,0.0645,100.037,0.598,2018
0.00919,"['Mistah F.A.B.', 'Ezale', 'Snort Dog']",0.8440000000000001,223869,0.865,1,0.0,0.0784,-3.46,1,Ride It Like a Stolo (feat. Ezale & Snort Dog),9,2018-08-24,0.182,99.001,0.244,2018
0.212,"['Mistah F.A.B.', 'G-Eazy', 'Clyde Carson']",0.596,183171,0.525,1,0.0,0.0954,-8.363999999999999,1,Don't Worry Be Hyphy (feat. G-Eazy & Clyde Carson),10,2018-08-24,0.356,97.005,0.351,2018
0.0352,"['Mistah F.A.B.', 'Lil Uno', 'Lil B', 'Mozzy']",0.629,268042,0.605,1,0.0,0.174,-7.727,0,"Still Slappin (feat. Lil Uno, Lil B & Mozzy)",9,2018-08-24,0.728,86.723,0.644,2018
0.0643,"['Mistah F.A.B.', 'Berner']",0.471,169273,0.868,1,0.0,0.0834,-3.067,1,I'm So Lit (feat. Berner),9,2018-08-24,0.192,99.888,0.225,2018
0.0358,['Mistah F.A.B.'],0.875,202632,0.491,1,2.8000000000000013e-05,0.111,-9.126,1,iPhones & Backwoods,8,2018-08-24,0.1989999999999999,99.97,0.346,2018
0.048,['Mistah F.A.B.'],0.645,207177,0.705,1,0.0,0.36,-7.482,1,Hyphy Story,8,2018-08-24,0.5770000000000001,95.315,0.682,2018
0.0102,['Mistah F.A.B.'],0.835,158354,0.597,1,0.0,0.11,-8.003,1,First Fridays,7,2018-08-24,0.252,97.954,0.35,2018
0.163,['Mistah F.A.B.'],0.768,209789,0.83,1,0.0,0.292,-4.096,1,One of Them Dudes,7,2018-08-24,0.305,102.999,0.638,2018
0.00994,['Mistah F.A.B.'],0.8440000000000001,235259,0.6709999999999999,1,0.0,0.319,-5.283,1,Kicked Out Again,7,2018-08-24,0.098,99.988,0.466,2018
0.00157,['Matias Grandom'],0.693,194508,0.387,0,0.588,0.108,-13.82,1,Year 2000,20,2019-02-22,0.052,129.968,0.282,2019
0.196,['APRE'],0.6509999999999999,237778,0.89,0,7.219999999999999e-05,0.301,-4.745,0,Gap Year 2008,28,2019-03-29,0.0563,149.97899999999996,0.866,2019
0.98,"['John Rutter', 'Stephen Cleobury', ""Choir of King's College, Cambridge""]",0.163,268720,0.114,0,0.746,0.151,-26.736,0,"Dormi, Jesu [2007]",15,2018-11-09,0.0411,71.686,0.0611,2018
0.987,"['Arvo Pärt', 'Stephen Cleobury', ""Choir of King's College, Cambridge""]",0.258,68573,0.109,0,0.000192,0.114,-25.612,1,Bogoróditse Djévo [2007],14,2018-11-09,0.0403,106.946,0.0926,2018
0.8190000000000001,['Amy Grant'],0.447,146889,0.362,0,0.0,0.0886,-8.822000000000003,1,It's The Most Wonderful Time Of The Year - Remastered 2007,4,2019-11-22,0.0269,100.582,0.426,2019
0.196,['APRE'],0.6509999999999999,237778,0.89,0,7.219999999999999e-05,0.301,-4.745,0,Gap Year 2008,28,2019-03-29,0.0563,149.97899999999996,0.866,2019
0.000302,"['Suffused', 'Silinder']",0.685,441381,0.7959999999999999,0,0.8170000000000001,0.25,-5.732,0,Year 2008 - Silinder Remix,12,2019-07-12,0.0479,123.011,0.174,2019
0.00255,"['Suffused', 'Alfoa']",0.6559999999999999,529408,0.755,0,0.845,0.259,-8.491,1,Year 2008 - Alfoa Remix,12,2019-07-12,0.0368,127.018,0.148,2019
0.0217,['Suffused'],0.632,565166,0.767,0,0.8290000000000001,0.0997,-8.94,0,Year 2008 - Ultimate Progress Late Night Mix,12,2019-07-29,0.0363,123.989,0.107,2019
0.00352,"['Suffused', 'DeepSoul Duo']",0.552,514016,0.769,0,0.815,0.184,-8.566,0,Year 2008 - Deep Soul Duo Remix,12,2019-07-13,0.032,127.009,0.12,2019
0.937,['Bruce Bruce'],0.5589999999999999,231898,0.645,0,0.0,0.805,-15.487,1,Yearly Physical (Jfl 2008),3,2018-11-14,0.955,80.79,0.433,2018
0.00157,['Matias Grandom'],0.693,194508,0.387,0,0.588,0.108,-13.82,1,Year 2000,20,2019-02-22,0.052,129.968,0.282,2019
0.0122,['Caleb Jones'],0.498,276923,0.591,0,0.0,0.11,-6.279,1,In a Year from Now,11,2018-12-31,0.0304,129.469,0.341,2018
0.375,['Teen Suicide'],0.286,99393,0.422,0,0.763,0.156,-6.426,1,New Years Eve (2012 demo),13,2019-10-30,0.0327,91.221,0.6890000000000001,2019
0.196,['APRE'],0.6509999999999999,237778,0.89,0,7.219999999999999e-05,0.301,-4.745,0,Gap Year 2008,28,2019-03-29,0.0563,149.97899999999996,0.866,2019
0.00125,"['The Bloody Beetroots', 'Steve Aoki']",0.72,190154,0.782,1,0.873,0.051,-3.144,0,Warp 2.0 (feat. Steve Aoki),21,2019-04-23,0.3339999999999999,130.05200000000002,0.597,2019
0.0011,"['The Bloody Beetroots', 'Steve Aoki']",0.654,203731,0.6,0,0.882,0.0403,-6.174,1,Warp 1.9 (feat. Steve Aoki),14,2019-04-23,0.264,130.166,0.406,2019
0.0316,['Brother Yusef'],0.7490000000000001,233547,0.48,0,0.000265,0.321,-9.283,1,I Got the Blues,14,2018-06-12,0.07,135.65,0.7040000000000001,2018
0.76,"['Myka 9', 'Factor Chandelier']",0.857,159907,0.723,0,0.132,0.13,-8.871,0,To the Sky,7,2019-01-15,0.35,102.125,0.72,2019
0.376,"['Myka 9', 'Factor Chandelier']",0.816,200253,0.601,0,0.0115,0.172,-9.179,1,Snake Bite,8,2019-01-15,0.0568,107.22,0.621,2019
0.0773,"['Myka 9', 'Factor Chandelier', 'AWOL One', 'Aesop Rock']",0.6970000000000001,208253,0.899,0,0.000241,0.5710000000000001,-5.356,0,Stand Up,5,2019-01-15,0.0653,99.524,0.7829999999999999,2019
0.214,"['Myka 9', 'Factor Chandelier']",0.769,212227,0.713,0,0.366,0.135,-6.3370000000000015,1,Inner Knowing,5,2019-01-15,0.0716,95.818,0.804,2019
0.216,"['Myka 9', 'Factor Chandelier', 'Busdriver']",0.769,138947,0.926,0,0.0,0.105,-6.5520000000000005,1,Chopper,5,2019-01-15,0.2689999999999999,150.63,0.633,2019
0.000416,"['The Bloody Beetroots', 'Steve Aoki', 'Bobermann']",0.517,183988,0.942,0,0.342,0.123,-6.309,1,WARP 1977 (feat. Steve Aoki & Bobermann),10,2019-04-23,0.046,129.86700000000002,0.0395,2019
0.212,"['Myka 9', 'Factor Chandelier', 'Aceyalone']",0.8690000000000001,172467,0.78,0,0.00014,0.0987,-6.426,1,Options,3,2019-01-15,0.223,96.012,0.77,2019
0.581,"['Myka 9', 'Factor Chandelier']",0.6609999999999999,204213,0.591,0,0.00417,0.924,-10.125,1,Elevated,3,2019-01-15,0.259,103.571,0.6859999999999999,2019
0.624,"['Myka 9', 'Factor Chandelier', 'Astronautalis', 'Ceschi']",0.657,244272,0.726,0,0.81,0.342,-7.095,0,Bask in These Rays,3,2019-01-15,0.123,110.123,0.461,2019
0.354,"['Myka 9', 'Factor Chandelier']",0.872,252440,0.68,0,0.737,0.6559999999999999,-9.648,0,Soul Beat,4,2019-01-15,0.158,91.747,0.8270000000000001,2019
0.4920000000000001,"['Myka 9', 'Factor Chandelier']",0.8490000000000001,239947,0.649,0,0.412,0.218,-8.532,0,Cadillac Nights,6,2019-01-15,0.174,119.399,0.57,2019
0.804,['Kenny K. Low'],0.2269999999999999,295000,0.3879999999999999,0,5.45e-05,0.121,-6.818,1,A Thousand Years,29,2019-10-31,0.0302,134.81799999999998,0.2289999999999999,2019
0.00157,['Matias Grandom'],0.693,194508,0.387,0,0.588,0.108,-13.82,1,Year 2000,20,2019-02-22,0.052,129.968,0.282,2019
0.636,['Sean Patton'],0.522,196462,0.672,1,0.0,0.954,-19.713,0,Out-Partying 20-Year-Olds (Jfl 2010),4,2019-11-04,0.855,87.536,0.316,2019
0.00138,"['Vicente Lara', 'Danny Leblack']",0.802,459057,0.944,0,0.8959999999999999,0.1,-6.314,0,Soludeks 2010 - Danny Leblack Remix,9,2018-04-13,0.0636,126.004,0.358,2018
0.446,['(EM)'],0.462,221832,0.542,0,0.0956,0.97,-9.161,1,(A Year) And Arise Again,4,2019-02-05,0.0308,99.403,0.547,2019
0.923,['Piano Project'],0.524,280499,0.244,0,0.96,0.114,-22.68,1,A Thousand Years,11,2019-06-07,0.0496,129.957,0.251,2019
5.89e-05,"['Ace Ventura', 'Captain Hook']",0.639,664534,0.642,0,0.8809999999999999,0.569,-9.786,0,The Jolly Roger,24,2018-03-24,0.0427,136.012,0.0427,2018
0.375,['Teen Suicide'],0.286,99393,0.422,0,0.763,0.156,-6.426,1,New Years Eve (2012 demo),13,2019-10-30,0.0327,91.221,0.6890000000000001,2019
0.00228,"['Jantika', 'Katarina July']",0.7490000000000001,360000,0.564,0,0.919,0.0812,-5.902,1,Happy New Year 2012 - Original Mix,12,2019-08-23,0.0517,128.013,0.254,2019
0.00263,"['Jantika', 'Katarina July']",0.7,360779,0.525,0,0.954,0.0904,-6.83,1,Happy New Year 2012 - Instrumental Mix,6,2019-12-06,0.0436,127.998,0.303,2019
0.8109999999999999,['Fleetwood Mac'],0.636,124827,0.233,0,0.149,0.154,-16.488,1,Never Going Back Again - 2013 Remaster,42,2018-11-16,0.0393,176.09,0.961,2018
0.0641,['City Blues Connection'],0.424,310613,0.807,0,0.000148,0.2239999999999999,-6.8,1,This Angel Shuffle (2013 Version),23,2019-09-30,0.0577,130.04399999999998,0.768,2019
0.0928,['Fleetwood Mac'],0.767,194827,0.66,0,0.00596,0.0494,-9.223,1,Not That Funny - 2015 Remaster,31,2018-11-16,0.0381,137.655,0.8390000000000001,2018
0.193,['Bad Company'],0.6809999999999999,226013,0.623,0,2.98e-06,0.0873,-10.322,0,Rock Steady - 2015 Remaster,12,2019-07-19,0.0324,99.482,0.812,2019
0.356,['Bad Company'],0.529,288680,0.4589999999999999,0,0.257,0.0778,-11.081,1,Bad Company - 2015 Remaster,13,2019-07-19,0.0295,115.04,0.466,2019
0.504,['Bad Company'],0.569,302320,0.521,0,0.000149,0.115,-11.863,1,Ready for Love - 2015 Remaster,13,2019-07-19,0.0322,129.048,0.4679999999999999,2019
0.4579999999999999,['Bad Company'],0.368,244840,0.395,0,3.66e-05,0.14,-14.067,1,Seagull - 2015 Remaster,12,2019-07-19,0.0296,101.564,0.466,2019
0.493,['Bad Company'],0.647,204307,0.816,0,0.0422,0.142,-8.466000000000001,1,Movin' On - 2015 Remaster,11,2019-07-19,0.0347,117.657,0.94,2019
0.252,['Bad Company'],0.386,379880,0.591,0,4.46e-05,0.0592,-9.301,1,Shooting Star - 2015 Remaster,11,2019-07-19,0.0377,166.362,0.65,2019
0.314,['Bad Company'],0.638,256360,0.6859999999999999,0,0.23,0.0678,-9.876,1,Can't Get Enough - 2015 Remaster,12,2019-07-19,0.0366,126.045,0.7659999999999999,2019
0.0322,['Bad Company'],0.511,217693,0.7509999999999999,0,0.00175,0.246,-8.128,1,Good Lovin' Gone Bad - 2015 Remaster,11,2019-07-19,0.0484,128.535,0.826,2019
0.347,['Bad Company'],0.534,314600,0.546,0,0.0036,0.633,-9.67,1,Feel like Makin' Love - 2015 Remaster,11,2019-07-19,0.031,85.35700000000001,0.762,2019
0.0574,['Dmitriy Rublev'],0.612,423882,0.835,0,0.954,0.203,-10.357,0,New Year 2016 - Original Mix,12,2019-08-20,0.0338,128.01,0.257,2019
0.156,['Eric Church'],0.45,221840,0.76,0,0.0,0.7070000000000001,-6.546,1,"Record Year - Live At Staples Center, Los Angeles, CA / March 31, 2017",28,2019-05-24,0.0717,80.102,0.391,2019
0.569,['Fleetwood Mac'],0.652,233507,0.373,0,0.00263,0.312,-13.994000000000002,1,Warm Ways - 2017 Remaster,32,2018-11-16,0.0272,92.234,0.457,2018
0.0354,['Fleetwood Mac'],0.778,247133,0.669,0,0.0132,0.0973,-9.735,1,Family Man - 2017 Remaster,33,2018-11-16,0.0367,123.543,0.8340000000000001,2018
0.569,['i.am.orange'],0.555,291213,0.723,1,0.000227,0.103,-10.947,1,ghost of mariano's (11-27-17),26,2019-09-29,0.0512,107.225,0.5770000000000001,2019
0.363,['Ten Years After'],0.397,224720,0.546,0,0.15,0.1009999999999999,-10.225,0,I'd Love to Change the World - 2017 Remaster,25,2018-09-14,0.0328,117.331,0.4,2018
0.3939999999999999,['NO:EL'],0.8109999999999999,168534,0.73,0,0.0,0.361,-6.001,1,Year End Party (2017),18,2018-04-10,0.53,93.259,0.4579999999999999,2018
0.35,['Boyce Avenue'],0.349,212772,0.366,0,0.0,0.61,-7.55,1,A Thousand Years / Say You Won’t Let Go (Live 2017),29,2018-10-14,0.0281,145.265,0.214,2018
0.19,['Ten Years After'],0.3989999999999999,358827,0.733,0,0.484,0.149,-7.407999999999999,1,One of These Days - 2017 Remaster,19,2018-09-14,0.0325,128.304,0.7070000000000001,2018
0.978,"['Henry John Gauntlett', 'AH Mann', 'Stephen Cleobury', ""Choir of King's College, Cambridge""]",0.0744,263253,0.188,0,0.7659999999999999,0.128,-22.032,1,Once in royal David's city (Desc. Stephen Cleobury) [2017],18,2018-11-09,0.0412,66.243,0.104,2018
0.731,['i.am.orange'],0.698,196441,0.479,0,0.8440000000000001,0.1,-16.21,1,cool as me,18,2019-09-29,0.0936,75.01100000000002,0.978,2019
0.604,['Bad Company'],0.607,304947,0.5720000000000001,0,3.53e-06,0.0915,-8.138,1,"Silver, Blue & Gold - 2017 Remaster",13,2019-07-19,0.0274,113.928,0.7440000000000001,2019
0.444,['i.am.orange'],0.556,279510,0.345,1,0.0,0.266,-7.13,1,"hey mike, i miss you man (10-2-17) [by the lake session]",19,2019-09-29,0.0777,156.33700000000005,0.536,2019
0.899,['Ten Years After'],0.439,275733,0.256,0,0.31,0.13,-15.147,1,Here They Come - 2017 Remaster,16,2018-09-14,0.0315,125.729,0.228,2018
0.0422,['Ten Years After'],0.519,260280,0.413,0,0.127,0.115,-10.51,1,Let the Sky Fall - 2017 Remaster,16,2018-09-14,0.0295,138.866,0.691,2018
0.828,['Mr. Hong'],0.331,356571,0.271,0,0.746,0.0921,-11.554,0,"May 13, 2017",18,2018-05-13,0.0485,135.399,0.113,2018
0.2689999999999999,['Ten Years After'],0.3929999999999999,192187,0.5820000000000001,0,0.162,0.107,-8.968,1,Hard Monkeys - 2017 Remaster,15,2018-09-14,0.0263,140.759,0.473,2018
0.6829999999999999,['Ten Years After'],0.499,148733,0.325,0,0.0791,0.195,-10.455,1,Over the Hill - 2017 Remaster,16,2018-09-14,0.0289999999999999,133.968,0.289,2018
0.262,['i.am.orange'],0.627,333248,0.606,1,0.0,0.0725,-6.785,1,not pretending (9-5-17) [wooden spoon],15,2019-09-29,0.0564,142.019,0.7979999999999999,2019
0.18,['Ten Years After'],0.4589999999999999,345413,0.7070000000000001,0,0.254,0.0717,-8.878,1,I've Been There Too - 2017 Remaster,15,2018-09-14,0.0437,148.97799999999995,0.779,2018
0.347,['Ten Years After'],0.4589999999999999,203293,0.647,0,0.00173,0.1169999999999999,-9.171,1,Once There Was a Time - 2017 Remaster,15,2018-09-14,0.0316,163.711,0.919,2018
0.318,['Ten Years After'],0.291,136733,0.927,0,0.000308,0.273,-5.877000000000002,1,Baby Won't You Let Me Rock n' Roll You - 2017 Remaster,15,2018-09-14,0.0578,154.82299999999995,0.77,2018
0.365,['i.am.orange'],0.614,195030,0.371,0,1.09e-06,0.472,-10.505999999999998,1,charlie sheen (11-5-17),15,2019-09-29,0.0832,89.516,0.5660000000000001,2019
0.308,['Bad Company'],0.436,310867,0.532,0,0.00395,0.208,-10.765999999999998,1,Burnin' Sky - 2017 Remaster,9,2019-07-19,0.0476,190.113,0.845,2019
0.778,['i.am.orange'],0.7240000000000001,218044,0.0392,0,0.0,0.142,-18.906,1,catfish (1-10-17),14,2019-09-29,0.0708,113.567,0.462,2019
0.988,"['Huw Watkins', 'Stephen Cleobury', ""Choir of King's College, Cambridge""]",0.252,140347,0.0831,0,0.206,0.166,-29.339,0,Carol Eliseus [2017 – Premiere Recording],12,2018-11-09,0.0394,106.786,0.0705,2018
0.905,['Wyatt Cenac'],0.601,257939,0.682,0,0.0,0.833,-9.813,0,Jesus Year (Jfl 2017),8,2018-11-19,0.929,85.21799999999998,0.3929999999999999,2018
0.843,['i.am.orange'],0.509,239569,0.178,0,0.000347,0.106,-8.087,0,sp00k (10-31-17),14,2019-09-29,0.0334,177.503,0.604,2019
0.75,['i.am.orange'],0.7140000000000001,228049,0.2769999999999999,1,0.0,0.321,-7.959,1,prompostprometc (8-30-17),14,2019-09-29,0.282,133.142,0.59,2019
0.83,['i.am.orange'],0.772,208536,0.249,0,4.94e-05,0.11,-9.976,0,gym (12-3-17),14,2019-09-29,0.159,93.203,0.516,2019
0.794,['i.am.orange'],0.626,175000,0.181,1,3.35e-05,0.113,-15.412,1,fuck this game (7-17-17),14,2019-09-29,0.0504,115.681,0.255,2019
0.8759999999999999,['i.am.orange'],0.585,144812,0.215,0,0.00774,0.193,-13.296,1,2am taco (8-24-17),14,2019-09-29,0.0475,83.431,0.55,2019
0.153,['Bad Company'],0.528,325467,0.8,0,0.000192,0.1159999999999999,-8.352,1,Run with the Pack - 2017 Remaster,9,2019-07-19,0.0291,119.527,0.794,2019
0.614,['Ten Years After'],0.411,119693,0.486,0,0.0907,0.0687,-13.182,0,Uncle Jam - 2017 Remaster,12,2018-09-14,0.0378,111.965,0.748,2018
0.929,['i.am.orange'],0.56,208000,0.33,1,0.000175,0.1159999999999999,-12.187,1,no ragrets (12-6-17),13,2019-09-29,0.0386,117.698,0.428,2019
0.835,['i.am.orange'],0.536,124500,0.201,1,0.000557,0.155,-17.264,1,shower song (3-8-17),13,2019-09-29,0.0722,176.183,0.907,2019
0.151,['Bad Company'],0.532,218813,0.503,0,1.05e-06,0.262,-9.645,1,Simple Man - 2017 Remaster,9,2019-07-19,0.0337,143.029,0.774,2019
0.0769,['Juice WRLD'],0.6709999999999999,165820,0.529,1,0.000335,0.0856,-7.226,1,All Girls Are The Same,87,2018-12-10,0.307,161.989,0.203,2018
0.349,['Juice WRLD'],0.511,239836,0.5660000000000001,1,0.0,0.34,-7.23,0,Lucid Dreams,88,2018-12-10,0.2,83.90299999999998,0.218,2018
0.365,['Fleetwood Mac'],0.684,226773,0.638,0,0.0207,0.119,-9.025,0,Rhiannon (Will You Ever Win) - 2018 Remaster,51,2018-11-16,0.0312,129.959,0.81,2018
0.544,['Joji'],0.515,209274,0.479,1,0.00598,0.191,-7.457999999999997,1,SLOW DANCING IN THE DARK,84,2018-10-26,0.0261,88.964,0.284,2018
0.369,['Morgan Wallen'],0.614,234347,0.68,0,1.84e-06,0.115,-4.58,1,Whiskey Glasses,80,2018-04-27,0.0289,149.959,0.7070000000000001,2018
0.0442,['Fleetwood Mac'],0.615,263867,0.6890000000000001,0,0.00704,0.278,-9.602,1,Gypsy - 2018 Remaster,49,2018-11-16,0.0297,131.82399999999998,0.736,2018
0.483,['Sia'],0.716,165907,0.512,0,0.0,0.0928,-6.2570000000000014,1,Snowman,91,2018-11-01,0.0331,104.957,0.326,2018
0.934,"['Billie Eilish', 'Khalid']",0.351,200186,0.296,0,0.0,0.095,-10.109,0,lovely (with Khalid),88,2018-04-19,0.0333,115.284,0.12,2018
0.144,['Fleetwood Mac'],0.8370000000000001,257480,0.41,0,0.0152,0.141,-11.797,1,Dreams - 2018 Remaster,50,2018-11-16,0.0332,120.385,0.7929999999999999,2018
0.657,['Morgan Wallen'],0.631,205453,0.591,0,0.0,0.11,-5.785,1,Chasin' You,79,2018-04-27,0.0277,97.074,0.489,2018
0.258,['XXXTENTACION'],0.74,166606,0.613,1,0.00372,0.123,-4.88,1,SAD!,86,2018-03-16,0.145,75.023,0.473,2018
0.2239999999999999,['Fleetwood Mac'],0.613,218867,0.785,0,0.8420000000000001,0.168,-11.856,0,Tusk - 2018 Remaster,48,2018-11-16,0.0854,180.967,0.919,2018
0.0852,"['Lil Baby', 'Gunna']",0.897,145543,0.662,1,0.0,0.534,-6.903,0,Drip Too Hard (Lil Baby & Gunna),82,2018-10-05,0.292,112.511,0.389,2018
0.00513,['Travis Scott'],0.8340000000000001,312820,0.73,1,0.0,0.124,-3.714,1,SICKO MODE,86,2018-08-03,0.222,155.00799999999995,0.446,2018
0.008,['Fleetwood Mac'],0.555,269813,0.607,0,0.0054,0.0968,-9.403,1,The Chain - Live 1997; 2018 Remaster,51,2018-11-16,0.0439,151.886,0.526,2018
0.6759999999999999,['Luke Combs'],0.551,193200,0.402,0,0.0,0.0928,-7.431,1,Beautiful Crazy,79,2018-06-01,0.0262,103.313,0.382,2018
